Course Name,Ranking,State,Architect,Year
Pine Valley,1,NJ,George Crump/H.S. Colt,1918
Cypress Point,2,CA,Alister MacKenzie,1928
Augusta National,3,GA,Alister MacKenzie/Bobby Jones,1933
Shinnecock Hills,4,NY,William Flynn,1931
Pebble Beach,5,CA,Jack Neville/Douglas Grant,1919
Oakmont,6,PA,Henry Fownes,1903
Merion (East),7,PA,Hugh Wilson,1912
Sand Hills,8,NE,Bill Coore/Ben Crenshaw,1994
National Golf Links of America,9,NY,C.B. Macdonald,1911
Pinehurst (No.2),10,NC,Donald Ross,1907
Pacific Dunes,11,OR,Tom Doak,2001
Crystal Downs,12,MI,Alister MacKenzie/Perry Maxwell,1932
Winged Foot (West),13,NY,A.W. Tillinghast,1923
Seminole,14,FL,Donald Ross,1907
Chicago,15,IL,C.B. Macdonald/Seth Raynor,1895/1923
Prarie Dunes,16,KS,Perry Maxwell/Press Maxwell,1937/1957
San Francisco Golf Club,17,CA,A.W. Tillinghast,1918
Fishers Island,18,NY,Seth Raynor,1926
Oakland Hills(South),19,MI,Donald Ross/Robert Trent Jones,1917/1950
Riviera,20,CA,George Thomas/Billy Bell Sr.,1926
Bethpage(Black),21,NY,A.W. Tillinghast,1935
The Country Club(Clyde/Squirrel),22,MS,Willie Campbell/Rees Jones,1895/1985
Friar's Head,23,NY,Bill Coore/Ben Crenshaw,2003
Los Angeles(North),24,CA,George Thomas,1921
Olympic (Lake),25,CA,"Sa, Whiting",1924
Whistling Straits (Straits),26,WI,Pete Dye,1998
Kiawah Island (Ocean),27,SC,Pete Dye,1991
Garden City Golf Club,28,NY,Devereux Emmet,1899
TPC Sawgrass (Players Stadium),29,FL,Pete Dye,1981
Murfield Village,30,OH,Jack Nicklaus/Desmond Muirhead,1974
Baltusrol (Lower),31,NJ,A.W. Tillinghast,1922
Bandon Dunes,32,OR,David McLay Kidd,1999
Oak Hill (East),33,NY,Donald Ross,1923
The Golf Club,34,OH,Pete Dye,1967
Southern Hills,35,OK,Perry Maxwell,1936
Shoreacres,36,IL,Seth Raynor,1921
Medinah (No.3),37,IL,Tom Bendelow,1928
Old Sandwich,38,MS,Bill Coore/Ben Crenshaw,2004
Camargo,39,OH,Seth Raynor,1921
Quaker Ridge,40,NY,A.W. Tillinghast,1926
Inverness,41,OH,Donald Ross,1919
Maidstone,42,NY,John Park/Willie Park Jr.,1891
Old Macdonald,43,OR,Tom Doak/Jim Urbina,2010
Winged Foot (East),44,NY,A.W. Tillinghast,1923
Harbor Town,45,SC,Pete Dye/Jack Nicklaus,1969
Ballyneal,46,CO,Tom Doak,2006
Sommerset Hills,47,NJ,A.W. Tillinghast,1918
Nanea,48,HI,David McLay Kidd,2003
Chambers Bay,49,WA,Robert Trent Jones II,2007
