Ranking,CourseName,City,State,Architect,Year,Cost,Coordinates
1,Pacific Dunes,Bandon,OR,Tom Doak,2001,75-295,"[43.188221,-124.390174]"
2,Pebble Beach,Pebble Beach,CA,Jack Neville/Douglas Grant,1919,495-530,"[36.56,-121.95]"
3,Pinehurst (No.2),Pinehurst,NC,Donald Ross,1907,370-450,"[35.1895,-79.4678]"
4,Bethpage(Black),Farmingdale,NY,A.W. Tillinghast,1936,78-150,"[40.7423,-73.4552]"
5,Kiawah Island (Ocean),Kiawah Island,SC,Pete Dye,1991,280-390,"[32.6113,-80.0229]"
6,Whistling Straits (Straits),Haven,WI,Pete Dye,1997,370-430,"[43.851,-87.735]"
7,TPC Sawgrass (Players Stadium),Ponte Vedra Beach,FL,Pete Dye,1980,300-495,"[30.198,-81.394]"
8,Bandon Dunes,Bandon,OR,David McLay Kidd,1999,75-295,"[43.188221,-124.390174]"
9,Harbour Town,Hilton Head Island,SC,Pete Dye,1969,143-262,"[32.136,-80.81]"
10,Old Macdonald,Bandon,OR,Tom Doak/Jim Urbina,2010,75-295,"[43.188221,-124.390174]"
11,Spyglass Hill,Pebble Beach,CA,Robert Trent Jones Sr.,1966,385-420,"[36.5851,-121.9555]"
12,Streamsong Resort (Red),Streamsong,FL,Bill Coore/Ben Crenshaw,2013,85-220,"[27.679645,-81.93737]"
13,Bandon Trails,Bandon,OR,Boll Coore/Ben Crenshaw,2005,75-295,"[43.188221,-124.390174]"
14,Blackwolf Run (River),Kohler,WI,Pete Dye,1988,270-300,"[43.728061,-87.8851]"
15,Pasatiempo,Santa Cruz,CA,Alister MacKenzie,1929,230-262,"[37.0064,-122.03]"
16,Streamsong Resort (Blue),Streamsong,FL,Tom Doak,2013,85-220,"[27.679645,-81.93737]"
17,Chambers Bay,University Place,WA,Robert Trent Jones II,2007,99-239,"[47.2,-122.57]"
18,Shadow Creek,North Las Vegas,NV,Tom Fazio/Steve Wynn,1990,500,"[36.256995,-115.107959]"
19,Kapalua Resort (Plantation),"Kapalua, Maui",HI,Bill Coore/Ben Crenshaw,1991,178-278,"[21.006677,-156.6398]"
20,Trump National Doral (Blue Monster),Miami,FL,Dick Wilson/Gil Hanse,1961/2014,235-450,"[25.814225,-80.337995]"
21,Forest Dunes Golf Club,Roscommon,MI,Tom Weiskopf,2002,69-149,"[44.591933,-84.5299]"
22,Erin Hills Golf Course,Erin,WI,Muchael Hurdzan/Dana Fry/Ron Whitten,2006,225,"[43.244204,-88.395402]"
23,Torrey Pines (South),La Jolla,CA,William F. Bell/Rees Jones,1957/2010,110-272,"[32.9045,-117.2454]"
24,The Prince at Princeville,"Princeville, Kauai",HI,Robert Trent Jones Jr.,1991,165-250,"[22.211461,-159.462395]"
25,Troon North Golf Club (Pinnacle),Scottsdale,AZ,Tom Weiskopf/Jay Morrish,1991,39-259,"[33.744906,-111.858785]"
