name,lat,lon,cname,slope,rating,par,holes,yardage
Ak-Chin Southern Dunes Golf Club,33.085701,-112.0883,Ak-Chin Southern Dunes Golf Club,141,76.2,72,18,7517 yards
Apache Stronghold,33.365433,-110.669067,Apache Stronghold Golf Course,145,74.6,72,18,7519 yards
Arcadia Bluffs Golf Club,44.45683,-86.2422,Arcadia Bluffs Golf Course,147,75.4,72,18,7300 yards
Arnold Palmer's Bay Hill Club (Championship),28.458774,-81.51029,,137,75.2,72,18,7381 yards
Aronimink,40.01162,-75.40853,Aronimink Golf Club,130,74.4,70,18,7190 yards
Atlanta Country Club,33.938837,-84.425864,Atlanta Country Club,147,75.6,72,18,7110 yards
Atlantic,40.947258,-72.335434,Atlantic Golf Club,141,74.9,72,18,7071 yards
Atlantic City Country Club,39.370544,-74.54129,Atlantic City Country Club,133,72.3,70,18,6577 yards
Atunyote at Turning Stone Resort,43.094481,-75.53739,Atunyote Golf Club at Turning Stone,143,75.8,72,18,7749 yards
Augusta National,33.5,-82.02222,Eighteen at Augusta National Golf Club,148,76.2,72,18,7445 yards
Avalon Lakes,41.241937,-80.72069,Avalon Lakes Golf Course,139,76.5,72,18,7551 yards
Ballyneal,40.420004,-102.26558,Ballyneal Golf & Hunt Club,-1,-1,71,18,7147 yards
Baltimore (Five Farms East),39.440172,-76.66169,,139,74.5,70,18,7004 yards
Baltusrol (Lower),40.705,-74.32,Lower at Baltusrol Golf Club,147,76,72,18,7400 yards
Baltusrol (Upper),40.705,-74.32,Upper at Baltusrol Golf Club,151,75.9,72,18,7348 yards
Bandon Dunes,43.188221,-124.39017,Bandon Dunes,143,74.1,72,18,6732 yards
Bandon Trails,43.188221,-124.39017,Bandon Trails,130,73.6,71,18,6759 yards
Barefoot Resort (Dye),33.812023,-78.74326,Barefoot Resort & Golf - Dye Course,146,76,72,18,7343 yards
Barefoot Resort (Fazio),33.807329,-78.75391,Barefoot Resort & Golf - Fazio Course,145,73.2,71,18,6834 yards
Barefoot Resort (Love),33.806604,-78.75654,Barefoot Resort & Golf - Love Course,139,75.1,72,18,7047 yards
Bay Harbor Golf Club (Links_Quarry),45.36226,-85.05073,,145,73,72,18,6727 yards
Bayside Resort,38.464714,-75.109403,Bayside Resort Golf Club,148,76.4,72,18,7545 yards
Beechtree,39.503118,-76.203529,,142,74.9,72,18,7023 yards
Bel-Air,34.079033,-118.4501,Bel-Air Country Club,137,73.8,70,18,6772 yards
Belgrade Lakes Golf Course,44.518019,-69.88373,,135,72.2,71,18,6723 yards
Bellerive,38.660461,-90.48379,Bellerive Country Club,141,76.5,72,18,7547 yards
Bethpage(Black),40.7423,-73.455,,152,78.1,71,18,7468 yards
Black Diamond Ranch(Quarry),29.910219,-82.496899,,137,75,72,18,7159 yards
Black Lake,45.4155961,-84.271002,Black Lake Golf Club,143,74.8,72,18,7046 yards
Blackwolf Run (River),43.728061,-87.885,,151,76.2,72,18,7404 yards
Blackwolf Run(Meadow Valleys),43.729035,-87.77541,,145,75.1,72,18,7250 yards
Blue Heron Pines (East),39.485778,-74.604964,,135,74.8,71,18,7221 yards
Boston Golf Club,42.189488,-70.8976,Boston Golf Club,141,75,71,18,7020 yards
Boyne Highlands (Heather),45.470705,-84.930932,The Heather at Boyne Highlands Resort,141,74.6,72,18,7154 yards
Branson Creek,36.5745,-93.193871,Buffalo Ridge Springs Golf Course,130,73.4,71,18,7036 yards
Briar's Creek,32.648966,-80.138181,The Golf Club At Briar's Creek,143,74.6,72,18,7130 yards
Brickyard Crossing,39.794147,-86.232114,Brickyard Crossing,149,75.1,72,18,7180 yards
Buffalo Ridge Golf Club,36.576806,-93.19245,Buffalo Ridge Springs Golf Course,130,73.4,71,18,7036 yards
Bulle Rock,39.540205,-76.13233,Bulle Rock Golf Club,148,76.6,72,18,7375 yards
Bully Pulpit,46.874224,-103.535132,Bully Pulpit Golf Course,133,75.4,72,18,7166 yards
Butler National,41.840748,-87.93243,Butler National Golf Club,152,78.1,72,18,7523 yards
Caledonia Golf & Fish Club,33.472206,-79.13457,Caledonia Golf & Fish Club,140,72.1,70,18,6526 yards
California Golf Clubs of San Francisco,37.64732,-122.4398,California Golf Club of San Francisco,135,74.3,72,18,7216 yards
Calusa Pines,26.262583,-81.66626,Calusa Pines Golf Club,148,75.3,72,18,7203 yards
Camargo,39.179554,-84.33564,Camargo Club,134,72.1,70,18,6659 yards
Cambrian Ridge(Sherling_Canyon),31.894268,-86.688009,,130,75.3,72,18,7427 yards
Cambrian Ridge(Sherling/Canyon),31.894268,-86.688009,,130,75.3,72,18,7427 yards
Camp Creek,30.294298,-86.040399,Camp Creek Golf Club,152,76,72,18,7159 yards
Canterbury,41.469274,-81.522577,Canterbury Golf Club,139,74.3,71,18,7012 yards
Canyata,39.470712,-87.69966,Canyata Golf Club,149,76,72,18,7266 yards
Capitol Hill(Judge),32.443845,-86.394202,,147,78.5,72,18,7813 yards
Cascata,35.977033,-114.89178,Cascata,143,74.6,72,18,7137 yards
Castle Pines,39.440541,-104.898,Castle Pines Golf Club,155,77.1,72,18,7696 yards
Caves Valley,39.451392,-76.74471,Caves Valley Golf Club,142,75.3,71,18,7226 yards
Chambers Bay,47.2,-122.5,Chambers Bay,146,78.1,72,18,7585 yards
Cherry Hills,39.643,-104.96,Eighteen Hole at Cherry Hills Country Club,133,74.7,72,18,7348 yards
Chicago,41.8448,-88.116,Chicago Golf Club,135,73.4,70,18,6846 yards
Circling Raven Golf Club,47.425993,-116.96392,Circling Raven Golf Club,144,74,72,18,7189 yards
Coeur d'Alene Resort,47.426871,-116.97817,,119,71.1,71,18,6803 yards
Cog Hill (No. 4),41.678515,-87.94859,,151,77.8,71,18,7554 yards
Colonial,32.720339,-97.37359,Colonial Country Club,138,75.1,70,18,7204 yards
Congressional (Blue),38.996,-77.17,Blue at Congressional Country Club,142,75.4,72,18,7278 yards
CordeValle,37.066514,-121.6276,CordeValle Golf Club,146,76.3,72,18,7360 yards
Cordillera (Summit),39.617813,-106.693663,Summit at Cordillera Summit Course,142,74.9,72,18,7518 yards
Country Club of Fairfield,41.128336,-73.27411,Country Club of Fairfield,133,71.6,70,18,6358 yards
Coyote Springs (Chase),36.799462,-114.927368,Coyote Springs Golf Club,141,75.8,72,18,7471 yards
Crooked Stick,39.9479,-86.194,Crooked Stick Golf Club,148,77.7,72,18,7516 yards
Crosswater at Sunriver Resort,43.853105,-121.44736,Crosswater at Sunriver Resort,145,76.5,72,18,7683 yards
Crumpin Fox,42.681309,-72.523862,Crumpin-Fox Club,141,73.8,72,18,7007 yards
Crystal Downs,44.736667,-86.23416,Crystal Downs Country Club,138,73.6,70,18,6518 yards
Cypress Point,36.5791272,-121.963845,Cypress Point Club,140,72.1,72,18,6524 yards
