name,lat,lon,city,url,clat,clon,cname,cid,cthumb,slope,rating,par,holes,yardage
Grandfather,36.096501,-81.85557,Linville,http://www.golfadvisor.com//courses/10110-grandfather-at-grandfather-golf-country-club/,36.09534319,-81.85470358,Grandfather at Grandfather Golf & Country Club,10110,//cdn.gdol.com/app/courses/image/thumb/65619.jpg,142,74.2,72,18,7101
Quarry Oaks,41.010756,-96.27765,Ashland,http://www.golfadvisor.com//courses/1012-quarry-oaks-golf-club/,41.00940686,-96.27627775,Quarry Oaks Golf Club,1012,//cdn.gdol.com/app/courses/image/thumb/37745.jpg,143,75.1,71,18,7010
Hawktree,46.899253,-100.832376,Bismarck,http://www.golfadvisor.com//courses/10334-hawktree-golf-club/,46.89537111,-100.8435166,Hawktree Golf Club,10334,//cdn.gdol.com/app/courses/image/thumb/67640.jpg,137,75.2,72,18,7085
Sand Ridge,41.532825,-81.203225,Chardon,http://www.golfadvisor.com//courses/10520-sand-ridge-golf-club/,41.53153879,-81.20587916,Sand Ridge Golf Club,10520,//cdn.gdol.com/app/courses/image/thumb/46808.jpg,135,72.6,72,18,6617
NCR Country Club (South),39.679808,-84.193253,Kettering,http://www.golfadvisor.com//courses/10620-south-at-ncr-country-club/,39.6695386,-84.19818878,South at NCR Country Club,10620,//cdn.gdol.com/app/courses/image/thumb/44021.jpg,142,74.5,71,18,7055
Longaberger,40.088689,-82.23459,Nashport,http://www.golfadvisor.com//courses/10866-virtues-golf-club/,40.08921849,-82.23365611,Virtues Golf Club,10866,//cdn.gdol.com/app/courses/image/thumb/40742.jpg,140,75,72,18,7243
Avalon Lakes,41.241937,-80.72069,Warren,http://www.golfadvisor.com//courses/11046-avalon-lakes-golf-course/,41.23828614,-80.71526527,Avalon Lakes Golf Course,11046,//cdn.gdol.com/app/courses/image/thumb/67055.jpg,139,76.5,72,18,7551
Southern Hills,36.072636,-95.94965,Tulsa,http://www.golfadvisor.com//courses/11238-west-nine-at-southern-hills-country-club/,36.07235337,-95.95656869,West Nine at Southern Hills Country Club,11238,//cdn.gdol.com/app/courses/image/thumb/39973.jpg,137,75.2,35,18,7012
Eugene Country Club,44.063826,-123.0868,Eugene,http://www.golfadvisor.com//courses/11296-eugene-country-club/,44.06319877,-123.0871259,Eugene Country Club,11296,//cdn.gdol.com/app/courses/image/thumb/46914.jpg,136,74.2,72,18,6854
Running Y Ranch,42.276285,-121.87878,Klamath Falls,http://www.golfadvisor.com//courses/11323-running-y-ranch-resort-the/,42.28122074,-121.8854044,"Running Y Ranch Resort, The",11323,//cdn.gdol.com/app/courses/image/thumb/2634.jpg,132,73.4,72,18,7138
Aronimink,40.01162,-75.40853,Newton Square,http://www.golfadvisor.com//courses/11853-aronimink-golf-club/,40.01113104,-75.40833893,Aronimink Golf Club,11853,//cdn.gdol.com/app/courses/image/thumb/57801.jpg,130,74.4,70,18,7190
Oakmont,40.5276,-79.824,Plum,http://www.golfadvisor.com//courses/11869-oakmont-east-golf-course/,40.52767883,-79.81591684,Oakmont East Golf Course,11869,//cdn.gdol.com/app/courses/default-image/thumb.jpg,142,76.9,71,18,7255
Fox Chapel,40.522911,-79.87778,Pittsburgh,http://www.golfadvisor.com//courses/11900-fox-chapel-golf-club/,40.52283605,-79.87669945,Fox Chapel Golf Club,11900,//cdn.gdol.com/app/courses/image/thumb/27812.jpg,135,73.9,71,18,6706
Newport,41.461944,-71.34694,Newport,http://www.golfadvisor.com//courses/12085-newport-country-club/,41.46219,-71.346942,Newport Country Club,12085,//cdn.gdol.com/app/courses/image/thumb/4446.jpg,129,72.71,70,18,6735
Turtle Point,32.608405,-80.08198,Kiawah Island,http://www.golfadvisor.com//courses/12150-turtle-point-at-kiawah-island-resort/,32.6077664,-80.08549333,Turtle Point at Kiawah Island Resort,12150,//cdn.gdol.com/app/courses/image/thumb/42853.jpg,140,73.8,72,18,7061
Greenville Country Club (Chanticleer),34.81599,-82.377429,Greenville,http://www.golfadvisor.com//courses/12210-chanticleer-at-greenville-country-club/,34.817146,-82.380465,Chanticleer at Greenville Country Club,12210,//cdn.gdol.com/app/courses/image/thumb/44242.jpg,143,73.2,72,18,6722
Tobacco Road Golf Club,35.397277,-79.21345,Sanford,http://www.golfadvisor.com//courses/1223-tobacco-road-golf-club/,35.39607396,-79.21273894,Tobacco Road Golf Club,1223,//cdn.gdol.com/app/courses/image/thumb/4278.jpg,144,71.7,71,18,6532
Old Town Club,36.124227,-80.27172,Winston-Salem,http://www.golfadvisor.com//courses/1250-old-town-club/,36.12484206,-80.27272224,Old Town Club,1250,//cdn.gdol.com/app/courses/image/thumb/16829.jpg,134,72.1,70,18,6661
The Links of North Dakota,48.1614,-103.045973,Ray,http://www.golfadvisor.com//courses/1252-links-of-north-dakota-at-red-mike-resort/,48.16213424,-103.0464982,Links of North Dakota at Red Mike Resort,1252,//cdn.gdol.com/app/courses/image/thumb/62824.jpg,128,75.1,72,18,7092
Holston Hills,35.994811,-83.841107,Knoxville,http://www.golfadvisor.com//courses/12555-holston-hills-country-club/,35.99580734,-83.83980306,Holston Hills Country Club,12555,//cdn.gdol.com/app/courses/image/thumb/44451.jpg,129,73.5,72,18,7082
Stonewater,41.56285,-81.471667,Highland Heights,http://www.golfadvisor.com//courses/1283-stonewater-golf-club/,41.56729787,-81.46808624,StoneWater Golf Club,1283,//cdn.gdol.com/app/courses/image/thumb/13242.jpg,137,74.5,72,18,7060
Sahalee,47.634846,-122.05713,Sammamish,http://www.golfadvisor.com//courses/13354-south-north-at-sahalee-country-club/,47.62959475,-122.0585346,South/North at Sahalee Country Club,13354,//cdn.gdol.com/app/courses/image/thumb/47556.jpg,139,74.2,72,18,6955
Lehigh,40.550787,-75.513114,Allentown,http://www.golfadvisor.com//courses/1367-lehigh-country-club/,40.55194929,-75.51269284,Lehigh Country Club,1367,//cdn.gdol.com/app/courses/image/thumb/66488.jpg,128,71.8,70,18,6581
Milwaukee,43.164373,-87.94476,River Hills,http://www.golfadvisor.com//courses/13846-milwaukee-country-club/,43.16315612,-87.9394412,Milwaukee Country Club,13846,//cdn.gdol.com/app/courses/image/thumb/65387.jpg,136,74.7,72,18,7097
The Glen Club,42.087754,-87.82736,Glenview,http://www.golfadvisor.com//courses/13990-the-glen-club/,42.0908344,-87.82781839,The Glen Club,13990,//cdn.gdol.com/app/courses/image/thumb/60941.jpg,140,74.8,72,18,7149
Koolau,21.374826,-157.792865,Kaneohe,http://www.golfadvisor.com//courses/14591-ko-olau-golf-club/,21.37371215,-157.7932245,Ko'olau Golf Club,14591,//cdn.gdol.com/app/courses/image/thumb/1864.jpg,153,78.2,72,18,7310
Kapalua Resort (Plantation),21.006677,-156.639,Lahaina,http://www.golfadvisor.com//courses/14595-kapalua-resort-the-plantation-course/,21.00669619,-156.6395932,Kapalua Resort - The Plantation Course,14595,//cdn.gdol.com/app/courses/image/thumb/1623.jpg,144,77.2,73,18,7411
Poipu Bay,21.880434,-159.429829,Koloa,http://www.golfadvisor.com//courses/14596-poipu-bay-golf-course/,21.87799669,-159.4379342,Poipu Bay Golf Course,14596,//cdn.gdol.com/app/courses/image/thumb/56922.jpg,134,73.9,72,18,7123
